customer_id,company_size,industry,region,customer_type,total_months_active,is_churned,latest_plan_type,avg_monthly_revenue,avg_session_duration,total_platform_uses,avg_engagement_count,engagement_rate,latest_satisfaction_score,latest_nps_score,session_duration_decay_ratio,revenue_trend_ratio,engagement_trend_ratio,outreach_volume_trend_ratio
CUST_00025,13,Retail,Europe,SMB,3,1,Basic,29.0,20.0,2,0.0,0.0,7.0,23.0,0.775,1.0,0.0,0.0
CUST_00026,33,Retail,Europe,SMB,8,1,Basic,29.0,18.11111111111111,17,0.2222222222222222,0.1111111111111111,7.0,23.0,0.635,1.0,0.0,2.25
CUST_00027,24,E-commerce,North America,SMB,16,0,Pro,99.0,26.58823529411765,28,0.29411764705882354,0.058823529411764705,7.0,23.0,0.527,1.0,8.499,1.7
CUST_00028,39,Technology,Latin America,SMB,16,0,Basic,29.0,24.529411764705884,22,0.17647058823529413,0.058823529411764705,6.0,-4.0,0.591,1.0,0.0,0.0
CUST_00029,51,Retail,North America,Mid-market,11,0,Basic,49.0,38.166666666666664,34,0.25,0.16666666666666666,7.0,23.0,0.459,1.0,0.0,2.0
CUST_00030,2,Retail,Europe,SMB,2,0,Basic,29.0,10.666666666666666,2,1.3333333333333333,0.5,7.0,23.0,0.516,1.0,1.5,1.125
CUST_00031,17,Education,North America,SMB,3,1,Enterprise,299.0,13.5,2,0.0,0.0,7.0,23.0,0.741,1.0,0.0,0.0
CUST_00032,48,E-commerce,North America,SMB,14,0,Basic,29.0,23.266666666666666,30,0.13333333333333333,0.0,7.0,23.0,0.559,1.0,0.0,0.0
CUST_00033,308,E-commerce,Asia-Pacific,Mid-market,19,0,Basic,49.0,42.55,64,0.25,0.2,8.0,31.0,0.658,1.0,0.0,0.0
CUST_00034,19,Technology,Europe,SMB,2,0,Basic,29.0,11.333333333333334,0,0.0,0.0,7.0,23.0,1.324,1.0,0.0,0.0
CUST_00035,88,Retail,North America,Mid-market,19,0,Basic,49.0,40.45,61,0.0,0.0,7.0,23.0,0.383,1.0,0.0,0.0
CUST_00036,200,Retail,North America,Mid-market,12,1,Pro,199.0,45.666666666666664,45,0.4,0.08888888888888888,7.0,23.0,0.668,1.0,1.875,3.75
CUST_00037,1123,Education,North America,Enterprise,10,0,Pro,299.0,86.0,79,0.09090909090909091,0.09090909090909091,10.0,40.0,0.663,1.0,0.0,0.0
CUST_00038,37,E-commerce,Latin America,SMB,5,0,Enterprise,299.0,18.5,5,0.5,0.16666666666666666,7.0,23.0,0.486,1.0,3.0,2.0
CUST_00039,257,Healthcare,Asia-Pacific,Mid-market,7,1,Basic,49.0,43.375,23,0.25,0.25,7.0,23.0,0.841,1.0,0.0,0.0
CUST_00040,2148,Retail,Europe,Enterprise,19,0,Enterprise,999.0,63.7,111,0.6,0.35,7.0,23.0,0.408,1.0,0.0,0.0
CUST_00041,598,Healthcare,North America,Enterprise,10,0,Enterprise,999.0,73.27272727272727,70,0.18181818181818182,0.18181818181818182,7.0,23.0,0.43,1.0,0.0,0.0
CUST_00042,35,Technology,Europe,SMB,18,1,Basic,29.0,26.095238095238095,40,0.047619047619047616,0.047619047619047616,7.0,23.0,0.46,1.0,0.0,0.0
CUST_00043,1800,Education,North America,Enterprise,0,0,Pro,299.0,49.0,6,0.0,0.0,7.0,23.0,1.0,1.0,0.0,0.0
CUST_00044,225,Retail,North America,Mid-market,5,1,Enterprise,499.0,36.833333333333336,23,0.16666666666666666,0.0,7.0,23.0,0.326,1.0,0.0,0.0
CUST_00045,38,E-commerce,North America,SMB,8,1,Basic,29.0,27.636363636363637,14,0.2727272727272727,0.09090909090909091,7.0,23.0,0.615,1.0,0.0,1.833
CUST_00046,21,Healthcare,Europe,SMB,16,0,Pro,99.0,23.058823529411764,29,0.4117647058823529,0.11764705882352941,4.0,-21.0,0.781,1.0,4.25,1.214
CUST_00047,48,Finance,North America,SMB,3,1,Basic,29.0,11.25,4,0.5,0.0,7.0,23.0,0.622,1.0,0.0,2.0
CUST_00048,30,Retail,Latin America,SMB,2,0,Pro,99.0,8.333333333333334,0,0.6666666666666666,0.0,7.0,23.0,1.08,1.0,0.0,1.5
CUST_00049,24,Education,North America,SMB,8,0,Pro,99.0,23.0,15,0.2222222222222222,0.0,7.0,23.0,0.761,1.0,0.0,4.5
CUST_00050,21,Healthcare,Latin America,SMB,12,0,Enterprise,299.0,21.76923076923077,16,0.07692307692307693,0.0,7.0,23.0,0.322,1.0,0.0,0.0
CUST_00051,3,Retail,North America,SMB,18,0,Basic,29.0,29.57894736842105,31,0.3684210526315789,0.07894736842105263,7.0,32.0,0.423,1.0,0.0,0.0
CUST_00052,27,E-commerce,North America,SMB,1,0,Basic,29.0,15.0,2,0.0,0.0,7.0,23.0,1.0,1.0,0.0,0.0
CUST_00053,4841,Retail,North America,Enterprise,7,1,Enterprise,999.0,40.1,58,0.7,0.7,7.0,23.0,0.623,1.0,1.429,1.429
CUST_00054,25,Technology,Asia-Pacific,SMB,18,0,Basic,29.0,24.210526315789473,35,0.10526315789473684,0.05263157894736842,5.0,-10.0,0.434,1.0,0.0,0.0
CUST_00055,4615,Retail,Europe,Enterprise,10,0,Enterprise,999.0,61.36363636363637,60,0.2727272727272727,0.18181818181818182,7.0,23.0,0.546,1.0,0.0,0.0
CUST_00056,23,E-commerce,Latin America,SMB,3,1,Basic,29.0,20.75,6,0.0,0.0,7.0,23.0,1.133,1.0,0.0,0.0
CUST_00057,22,E-commerce,North America,SMB,19,0,Basic,29.0,22.2,36,0.4,0.075,6.0,12.0,0.473,1.0,0.0,1.25
CUST_00058,2991,Technology,Asia-Pacific,Enterprise,13,0,Pro,299.0,68.71428571428571,81,0.5714285714285714,0.2857142857142857,7.0,23.0,0.371,1.0,0.0,0.0
CUST_00059,39,Education,Latin America,SMB,3,0,Pro,99.0,12.25,6,0.75,0.25,8.0,48.0,0.735,1.0,2.0,0.667
CUST_00060,360,E-commerce,Europe,Mid-market,17,0,Basic,49.0,40.05555555555556,58,0.3888888888888889,0.16666666666666666,7.0,23.0,0.624,1.0,0.0,0.0
CUST_00061,619,E-commerce,North America,Enterprise,2,0,Enterprise,999.0,57.0,7,0.3333333333333333,0.3333333333333333,7.0,23.0,0.842,1.0,1.5,1.5
CUST_00062,328,Technology,Latin America,Mid-market,4,0,Basic,49.0,41.0,10,0.0,0.0,7.0,23.0,0.524,1.0,0.0,0.0
CUST_00063,288,Technology,Latin America,Mid-market,3,1,Pro,199.0,24.0,6,0.5,0.5,7.0,23.0,0.854,1.0,1.0,1.0
CUST_00064,16,Finance,North America,SMB,20,1,Pro,99.0,26.88,43,0.04,0.0,7.0,23.0,0.316,1.0,0.0,12.497
CUST_00065,125,E-commerce,Asia-Pacific,Mid-market,17,1,Pro,199.0,38.9,62,0.5,0.175,7.0,23.0,0.694,1.0,0.0,1.0
CUST_00066,28,Retail,North America,SMB,18,1,Pro,99.0,26.428571428571427,27,0.14285714285714285,0.0,7.0,11.0,0.851,1.0,0.0,3.5
CUST_00067,12,E-commerce,Asia-Pacific,SMB,9,1,Basic,29.0,21.8,16,0.0,0.0,7.0,3.0,0.665,1.0,0.0,0.0
CUST_00068,271,Education,North America,Mid-market,10,1,Enterprise,499.0,35.09090909090909,26,0.2727272727272727,0.09090909090909091,7.0,23.0,0.57,1.0,0.0,1.833
CUST_00069,31,Finance,Latin America,SMB,6,1,Basic,29.0,21.857142857142858,13,0.14285714285714285,0.14285714285714285,7.0,23.0,0.572,1.0,0.0,0.0
CUST_00070,16,Finance,Asia-Pacific,SMB,2,0,Pro,99.0,18.0,2,0.3333333333333333,0.0,7.0,23.0,1.0,1.0,0.0,1.5
CUST_00071,445,Healthcare,Asia-Pacific,Mid-market,12,1,Basic,49.0,43.1764705882353,52,0.35294117647058826,0.11764705882352941,7.0,23.0,0.649,1.0,0.0,0.0
CUST_00072,37,Finance,Europe,SMB,1,0,Basic,29.0,14.5,2,0.5,0.5,7.0,23.0,1.0,1.0,1.0,1.0
CUST_00073,29,Technology,North America,SMB,15,0,Enterprise,299.0,28.4375,22,0.25,0.0625,7.0,24.0,0.211,1.0,0.0,0.0
CUST_00074,35,Finance,North America,SMB,7,1,Basic,29.0,22.9,20,0.0,0.0,7.0,23.0,0.721,1.0,0.0,0.0
CUST_00075,34,Technology,Asia-Pacific,SMB,0,0,Basic,29.0,20.0,0,0.0,0.0,7.0,23.0,1.0,1.0,0.0,0.0
CUST_00076,11,Finance,North America,SMB,20,0,Basic,29.0,27.285714285714285,34,0.23809523809523808,0.09523809523809523,7.0,29.0,0.733,1.0,0.0,2.1
CUST_00077,10,Finance,North America,SMB,10,0,Basic,29.0,21.454545454545453,13,0.0,0.0,7.0,23.0,0.746,1.0,0.0,0.0
CUST_00078,18,Healthcare,Europe,SMB,8,1,Basic,29.0,24.636363636363637,15,0.09090909090909091,0.0,10.0,50.0,0.487,1.0,0.0,0.0
CUST_00079,13,Finance,North America,SMB,20,1,Pro,99.0,27.08,45,0.2,0.04,7.0,23.0,0.517,1.0,0.0,0.0
CUST_00080,133,Retail,Europe,Mid-market,14,1,Basic,49.0,43.470588235294116,59,0.47058823529411764,0.29411764705882354,7.0,23.0,0.506,1.0,0.0,0.0
CUST_00081,41,Retail,North America,SMB,0,0,Pro,99.0,16.0,1,0.0,0.0,7.0,23.0,1.0,1.0,0.0,0.0
CUST_00082,47,Education,Europe,SMB,21,0,Enterprise,299.0,22.40909090909091,42,0.36363636363636365,0.22727272727272727,7.0,23.0,0.892,1.0,2.2,1.375
CUST_00083,21,Retail,Europe,SMB,19,0,Basic,29.0,25.4,45,0.2,0.05,7.0,23.0,0.276,1.0,0.0,0.0
CUST_00084,3482,Finance,Latin America,Enterprise,8,0,Enterprise,999.0,62.0,52,0.3333333333333333,0.3333333333333333,7.0,26.0,0.726,1.0,1.5,1.5
CUST_00085,18,Finance,North America,SMB,10,1,Basic,29.0,22.076923076923077,20,0.38461538461538464,0.07692307692307693,7.0,23.0,0.408,1.0,0.0,0.0
CUST_00086,56,Retail,North America,Mid-market,2,1,Enterprise,499.0,27.666666666666668,4,0.3333333333333333,0.0,7.0,23.0,0.831,1.0,0.0,0.0
CUST_00087,243,Technology,Latin America,Mid-market,18,0,Basic,49.0,46.31578947368421,58,0.3157894736842105,0.2631578947368421,9.0,52.0,0.335,1.0,0.0,0.0
CUST_00088,17,Finance,North America,SMB,7,0,Basic,29.0,21.875,11,0.0,0.0,7.0,23.0,0.571,1.0,0.0,0.0
CUST_00089,3986,Education,North America,Enterprise,7,0,Enterprise,999.0,56.625,46,0.25,0.25,7.0,23.0,0.804,1.0,2.0,2.0
CUST_00090,39,Technology,Latin America,SMB,9,0,Pro,99.0,22.2,17,0.3,0.1,5.0,-15.0,0.923,1.0,0.0,1.667
CUST_00091,20,Education,Europe,SMB,19,1,Basic,29.0,23.25,49,0.0,0.0,7.0,23.0,0.581,1.0,0.0,0.0
CUST_00092,397,Retail,Asia-Pacific,Mid-market,5,1,Enterprise,499.0,32.0,23,0.0,0.0,7.0,23.0,0.484,1.0,0.0,0.0
CUST_00093,38,Retail,Latin America,SMB,17,1,Basic,29.0,17.75,27,0.05,0.0,6.0,28.0,0.732,1.0,0.0,0.0
CUST_00094,4675,Finance,North America,Enterprise,20,0,Basic,99.0,63.714285714285715,149,0.3333333333333333,0.16666666666666666,7.0,23.0,0.62,1.0,0.0,0.0
CUST_00095,4012,Healthcare,Asia-Pacific,Enterprise,17,0,Basic,99.0,72.22222222222223,123,0.2777777777777778,0.19444444444444445,7.0,23.0,0.471,1.0,0.0,0.0
CUST_00096,3,Retail,Europe,SMB,10,0,Basic,29.0,24.90909090909091,27,0.09090909090909091,0.0,6.0,-3.0,0.622,1.0,0.0,5.499
CUST_00097,407,Technology,Latin America,Mid-market,2,0,Enterprise,499.0,27.666666666666668,3,0.3333333333333333,0.3333333333333333,7.0,23.0,1.066,1.0,1.5,1.5
CUST_00098,185,Education,Europe,Mid-market,10,0,Basic,49.0,31.90909090909091,31,0.36363636363636365,0.18181818181818182,7.0,23.0,0.799,1.0,2.75,2.75
CUST_00099,27,Finance,Latin America,SMB,1,0,Basic,29.0,14.0,2,0.5,0.5,7.0,23.0,1.0,1.0,1.0,1.0
CUST_00100,28,Finance,Asia-Pacific,SMB,7,0,Basic,29.0,22.875,14,0.0,0.0,7.0,23.0,0.503,1.0,0.0,0.0
CUST_00101,47,Healthcare,Asia-Pacific,SMB,2,1,Pro,99.0,14.0,2,0.0,0.0,7.0,23.0,1.0,1.0,0.0,0.0
CUST_00102,33,Healthcare,North America,SMB,9,0,Pro,99.0,29.4,10,0.2,0.1,10.0,47.0,0.493,1.0,0.0,0.0
CUST_00103,331,Retail,North America,Mid-market,11,0,Enterprise,499.0,39.333333333333336,42,0.5,0.25,7.0,23.0,0.928,1.0,4.0,2.0
CUST_00104,34,Retail,Asia-Pacific,SMB,7,1,Pro,99.0,22.5,14,0.1,0.0,7.0,23.0,0.844,1.0,0.0,0.0
CUST_00105,5,E-commerce,Asia-Pacific,SMB,20,0,Basic,29.0,23.952380952380953,33,0.09523809523809523,0.047619047619047616,5.0,-3.0,0.689,1.0,0.0,0.0
CUST_00106,4678,Finance,Asia-Pacific,Enterprise,2,0,Enterprise,999.0,64.33333333333333,17,0.0,0.0,7.0,23.0,1.003,1.0,0.0,0.0
CUST_00107,13,Retail,Latin America,SMB,19,0,Basic,29.0,26.3,34,0.05,0.05,7.0,23.0,0.608,1.0,0.0,0.0
CUST_00108,2074,Technology,North America,Enterprise,9,0,Enterprise,999.0,73.9,71,0.7,0.36666666666666664,7.0,23.0,0.44,1.0,0.0,0.0
CUST_00109,12,Healthcare,Europe,SMB,18,1,Basic,29.0,22.714285714285715,43,0.09523809523809523,0.047619047619047616,7.0,23.0,0.44,1.0,0.0,0.0
CUST_00110,3314,Healthcare,Europe,Enterprise,22,0,Basic,99.0,72.0,158,0.30434782608695654,0.2608695652173913,7.0,23.0,0.562,1.0,1.917,1.643
CUST_00111,39,E-commerce,Asia-Pacific,SMB,14,0,Pro,99.0,19.733333333333334,29,0.13333333333333333,0.06666666666666667,7.0,23.0,0.659,1.0,0.0,0.0
CUST_00112,335,Technology,Europe,Mid-market,2,1,Enterprise,499.0,27.0,4,0.0,0.0,7.0,23.0,1.222,1.0,0.0,0.0
CUST_00113,33,Education,Europe,SMB,13,0,Pro,99.0,21.357142857142858,25,0.07142857142857142,0.0,8.0,19.0,0.585,1.0,0.0,0.0
CUST_00114,29,Healthcare,Asia-Pacific,SMB,9,1,Basic,29.0,24.6,17,0.2,0.0,7.0,23.0,0.386,1.0,0.0,2.5
CUST_00115,4664,Education,North America,Enterprise,19,0,Enterprise,999.0,72.65,137,0.65,0.35,7.0,23.0,0.468,1.0,0.0,0.0
CUST_00116,289,E-commerce,Europe,Mid-market,3,1,Basic,49.0,24.25,14,0.0,0.0,7.0,23.0,0.845,1.0,0.0,0.0
CUST_00117,8,Healthcare,North America,SMB,20,0,Basic,29.0,29.666666666666668,35,0.19047619047619047,0.09523809523809523,7.0,23.0,0.742,1.0,0.0,0.0
CUST_00118,209,Healthcare,Europe,Mid-market,2,1,Pro,199.0,18.666666666666668,2,0.3333333333333333,0.0,7.0,23.0,0.884,1.0,0.0,1.5
CUST_00119,42,Finance,North America,SMB,21,1,Basic,29.0,22.25,55,0.041666666666666664,0.0,8.0,14.0,0.494,1.0,0.0,0.0
CUST_00120,46,Retail,North America,SMB,6,0,Basic,29.0,24.428571428571427,14,0.2857142857142857,0.14285714285714285,7.0,23.0,0.675,1.0,0.0,0.0
CUST_00121,47,Healthcare,North America,SMB,6,0,Basic,29.0,23.0,13,0.14285714285714285,0.0,7.0,23.0,0.674,1.0,0.0,0.0
CUST_00122,110,Healthcare,Latin America,Mid-market,1,1,Pro,199.0,27.0,3,0.0,0.0,7.0,23.0,1.0,1.0,0.0,0.0
CUST_00123,15,Retail,Europe,SMB,2,1,Pro,99.0,13.0,1,1.0,0.8,7.0,23.0,0.846,1.0,1.25,1.0
CUST_00124,14,Technology,Asia-Pacific,SMB,14,0,Basic,29.0,27.8,27,0.2,0.06666666666666667,7.0,23.0,0.629,1.0,0.0,2.5
CUST_00125,56,Healthcare,North America,Mid-market,16,1,Basic,49.0,42.61904761904762,77,0.47619047619047616,0.23809523809523808,5.0,1.0,0.469,1.0,0.0,0.0
CUST_00126,2406,Education,North America,Enterprise,23,1,Enterprise,999.0,70.53846153846153,178,0.4230769230769231,0.28846153846153844,7.0,23.0,0.305,1.0,3.467,3.545
CUST_00127,17,Education,North America,SMB,23,0,Pro,99.0,28.125,51,0.20833333333333334,0.041666666666666664,7.0,26.0,0.782,1.0,0.0,0.0
CUST_00128,20,Retail,Latin America,SMB,16,0,Basic,29.0,26.235294117647058,22,0.11764705882352941,0.058823529411764705,9.0,27.0,0.858,1.0,0.0,0.0
CUST_00129,277,Finance,Europe,Mid-market,6,1,Pro,199.0,42.0,31,0.0,0.0,7.0,23.0,0.619,1.0,0.0,0.0
CUST_00130,91,Retail,Europe,Mid-market,20,0,Pro,199.0,40.80952380952381,60,0.38095238095238093,0.23809523809523808,7.0,23.0,0.686,1.0,0.0,0.0
CUST_00131,45,Technology,North America,SMB,10,0,Pro,99.0,24.545454545454547,19,0.45454545454545453,0.22727272727272727,7.0,23.0,0.448,1.0,1.1,2.2
CUST_00132,48,E-commerce,North America,SMB,11,0,Basic,29.0,20.333333333333332,17,0.08333333333333333,0.0,7.0,23.0,0.467,1.0,0.0,0.0
CUST_00133,3370,E-commerce,North America,Enterprise,7,0,Basic,99.0,62.875,61,0.25,0.25,7.0,23.0,0.429,1.0,0.0,0.0
CUST_00134,31,Finance,Latin America,SMB,19,0,Basic,29.0,22.75,41,0.2,0.1,7.0,23.0,0.703,1.0,0.0,0.0
CUST_00135,49,Education,North America,SMB,23,1,Enterprise,299.0,26.392857142857142,48,0.21428571428571427,0.03571428571428571,7.0,23.0,0.303,1.0,0.0,2.333
CUST_00136,11,Retail,Asia-Pacific,SMB,4,0,Basic,29.0,23.6,8,0.2,0.0,7.0,23.0,0.551,1.0,0.0,0.0
CUST_00137,4,Finance,North America,SMB,9,1,Pro,99.0,25.1,18,0.3,0.1,7.0,23.0,0.916,1.0,0.0,1.667
CUST_00138,38,Retail,Europe,SMB,0,0,Basic,29.0,21.0,3,0.0,0.0,7.0,23.0,1.0,1.0,0.0,0.0
CUST_00139,2539,Healthcare,North America,Enterprise,19,0,Pro,299.0,67.55,136,0.65,0.425,7.0,23.0,0.651,1.0,0.0,0.0
CUST_00140,2,Technology,North America,SMB,11,1,Basic,29.0,19.916666666666668,19,0.3333333333333333,0.05555555555555555,7.0,26.0,0.603,1.0,0.0,1.5
CUST_00141,15,Retail,North America,SMB,4,0,Basic,29.0,15.6,4,0.2,0.0,7.0,-6.0,0.577,1.0,0.0,2.5
CUST_00142,44,Retail,Latin America,SMB,5,1,Basic,29.0,20.25,5,0.0,0.0,5.0,-10.0,0.889,1.0,0.0,0.0
CUST_00143,2070,Technology,North America,Enterprise,13,0,Enterprise,999.0,80.85714285714286,102,0.5,0.5,7.0,23.0,0.736,1.0,1.0,1.0
CUST_00144,410,Finance,North America,Mid-market,7,0,Pro,199.0,40.75,28,0.375,0.25,7.0,23.0,0.454,1.0,0.0,0.0
CUST_00145,19,Finance,North America,SMB,16,0,Basic,29.0,27.11764705882353,28,0.29411764705882354,0.14705882352941177,7.0,23.0,0.738,1.0,0.0,0.0
CUST_00146,138,Retail,Latin America,Mid-market,11,0,Enterprise,499.0,39.25,41,0.16666666666666666,0.0,7.0,23.0,0.497,1.0,0.0,3.0
CUST_00147,174,E-commerce,Latin America,Mid-market,10,0,Pro,199.0,44.63636363636363,34,0.36363636363636365,0.09090909090909091,7.0,23.0,0.526,1.0,0.0,0.0
CUST_00148,33,Retail,North America,SMB,10,0,Basic,29.0,23.636363636363637,17,0.09090909090909091,0.09090909090909091,7.0,23.0,0.804,1.0,5.499,5.499
CUST_00149,6,Healthcare,Europe,SMB,3,1,Basic,29.0,22.25,0,0.5,0.5,7.0,23.0,0.899,1.0,1.0,1.0
CUST_00150,15,Technology,North America,SMB,2,0,Pro,99.0,11.333333333333334,4,0.0,0.0,7.0,23.0,1.147,1.0,0.0,0.0
CUST_00151,87,Healthcare,Asia-Pacific,Mid-market,3,0,Pro,199.0,24.75,14,0.75,0.125,7.0,23.0,0.707,1.0,2.0,1.333
CUST_00152,22,Retail,North America,SMB,9,0,Basic,29.0,22.3,10,0.1,0.0,7.0,23.0,0.628,1.0,0.0,5.0
CUST_00153,31,E-commerce,Asia-Pacific,SMB,6,0,Pro,99.0,19.571428571428573,9,0.0,0.0,7.0,23.0,0.69,1.0,0.0,0.0
CUST_00154,29,Finance,Europe,SMB,16,0,Basic,29.0,22.470588235294116,29,0.4117647058823529,0.17647058823529413,7.0,23.0,0.534,1.0,0.0,0.0
CUST_00155,36,Healthcare,Europe,SMB,22,0,Pro,99.0,27.565217391304348,40,0.30434782608695654,0.08695652173913043,7.0,23.0,0.453,1.0,0.0,0.0
CUST_00156,379,Education,North America,Mid-market,14,0,Pro,199.0,43.2,55,0.2,0.13333333333333333,9.0,34.0,0.44,1.0,0.0,0.0
CUST_00157,12,Technology,Latin America,SMB,5,1,Basic,29.0,13.5,16,0.125,0.125,7.0,23.0,1.444,1.0,0.0,0.0
CUST_00158,40,Retail,North America,SMB,2,1,Basic,29.0,12.0,6,0.0,0.0,7.0,23.0,1.25,1.0,0.0,0.0
CUST_00159,4376,Education,Asia-Pacific,Enterprise,1,0,Enterprise,999.0,43.5,18,0.0,0.0,7.0,23.0,1.0,1.0,0.0,0.0
CUST_00160,29,Technology,North America,SMB,10,1,Basic,29.0,23.384615384615383,23,0.7692307692307693,0.15384615384615385,7.0,23.0,0.47,1.0,0.0,1.3
CUST_00161,3976,Retail,North America,Enterprise,8,0,Enterprise,999.0,74.44444444444444,65,0.3333333333333333,0.2222222222222222,7.0,23.0,0.557,1.0,2.25,1.5
CUST_00162,487,Retail,North America,Mid-market,12,0,Basic,49.0,43.07692307692308,40,0.3076923076923077,0.23076923076923078,7.0,23.0,0.58,1.0,0.0,0.0
CUST_00163,10,Retail,Asia-Pacific,SMB,5,0,Basic,29.0,20.333333333333332,5,0.0,0.0,7.0,23.0,0.811,1.0,0.0,0.0
CUST_00164,74,Healthcare,North America,Mid-market,9,0,Pro,199.0,36.9,24,0.5,0.1,9.0,25.0,0.379,1.0,0.0,0.0
CUST_00165,4100,Technology,Europe,Enterprise,4,0,Pro,299.0,40.6,22,0.2,0.2,7.0,23.0,0.579,1.0,0.0,0.0
CUST_00166,25,Healthcare,North America,SMB,2,1,Basic,29.0,17.6,6,0.0,0.0,7.0,23.0,1.335,1.0,0.0,0.0
CUST_00167,43,Retail,Asia-Pacific,SMB,3,1,Pro,99.0,16.5,8,0.25,0.0,7.0,23.0,0.758,1.0,0.0,2.0
CUST_00168,20,Retail,North America,SMB,2,0,Basic,29.0,10.333333333333334,1,0.0,0.0,7.0,23.0,1.161,1.0,0.0,0.0
CUST_00169,40,Education,Europe,SMB,12,0,Basic,29.0,25.46153846153846,21,0.15384615384615385,0.07692307692307693,7.0,23.0,0.785,1.0,6.499,3.25
CUST_00170,19,E-commerce,Asia-Pacific,SMB,5,0,Basic,29.0,12.5,8,0.0,0.0,7.0,23.0,0.68,1.0,0.0,0.0
CUST_00171,16,Finance,North America,SMB,13,0,Basic,29.0,27.285714285714285,24,0.21428571428571427,0.10714285714285714,7.0,23.0,0.238,1.0,0.0,0.0
CUST_00172,2,Healthcare,Europe,SMB,10,0,Basic,29.0,20.545454545454547,14,0.18181818181818182,0.0,7.0,23.0,1.071,1.0,0.0,0.0
